COUNTRY,CODE,PROCAN,BRECAN,CERCAN,STOCAN,ESOCAN,PANCAN,LUNCAN,COLCAN,LIVCAN,SMPREV,OWPREV,ACSHAR,GEOLAT,GEOLON
Afghanistan,AFG,6.37,8.67,3.9,29.3,6.96,2.72,12.53,8.43,10.27,11.9,23,0.21,33.93911,67.709953
Albania,ALB,8.87,6.5,1.64,10.68,1.44,6.68,26.63,9.15,6.84,20.5,57.7,7.17,41.153332,20.168331
Algeria,DZA,5.33,7.58,2.18,5.1,1.15,4.27,10.46,8.05,2.2,11.2,62,0.95,28.033886,1.659626
American Samoa,ASM,20.94,16.81,5.02,15.79,1.52,5.19,28.01,16.55,7.02,,,,-14.270972,-170.132217
Andorra,AND,9.68,9.02,2.04,8.3,3.56,10.26,34.18,22.97,9.44,26.6,63.7,11.02,42.546245,1.601554
Angola,AGO,13,11.48,10.93,8.96,8.81,3.4,14.88,9.65,2.59,8.6999998,27.5,6.94,-11.202692,17.873887
Antigua and Barbuda,ATG,35.83,16.44,5.76,11.05,3.11,6.39,9.59,16.16,2.85,3.4000001,48,6.38,17.060816,-61.796428
Argentina,ARG,11.32,15.84,5.87,9.44,5.08,11.94,25.74,23.59,2.15,19.299999,62.7,9.65,-38.416097,-63.616672
Armenia,ARM,7,13.75,3.98,13.01,1.62,10.61,31.62,14.3,7.07,26.700001,54.4,5.55,40.069099,45.038189
Australia,AUS,9.71,9.15,1.13,3.89,4.03,8.26,23.46,15.49,4.2,16.299999,64.5,10.51,-25.274398,133.775136
Austria,AUT,8.1,9.82,1.43,5.42,2.49,10.34,24.34,13.54,4.5,29.299999,54.3,11.96,47.516231,14.550072
Azerbaijan,AZE,6.03,9.84,3.3,22.48,9.32,7.45,23.58,12.2,4.37,22.4,53.6,4.41,40.143105,47.576927
Bahamas,BHS,30.44,19.98,5.88,9.16,5.19,4.69,14.52,18.41,3.21,10.1,64.4,4.78,25.03428,-77.39628
Bahrain,BHR,8.08,10.61,1.24,6.29,2.03,7.59,22.08,11.42,5.23,19,65.8,1.09,25.930414,50.637772
Bangladesh,BGD,4.12,7.2,2.78,6.58,4,2.21,7.81,4.94,2.75,22.4,20,0.019,23.684994,90.356331
